respid,fdate,qage,s1,s1a,s1com,s2,q1,q2,q3,q4,q5,q6,q7,d1,d2,d3,d4,d5,d7,d8,d9,d10,d11,d12,d13_1,d13_2,d13_3,d13_4,d13_5,d13_6,d14a,d14b,d14c,d15,sex,party_co,age,race,cong_dis,weight
100964,210621,72,70-74, ,70-74,Yes,Don't know or refused [DO NOT READ],Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Somewhat favorable,Female,70-74 years,Yes,Yes,Currently Single and never been married,Always,Democrat,Moderate,High school graduate or equivalent,Not in the labor force for other reasons,No,Black/African American, , , , , ,No,No,No,"Less than $15,000",F,E,72,B,3,.800151
101010,210621,76,75+, ,75+,Yes,Not at all likely,Very important,Very important,Very important,Very important,Strongly support,Extremely favorable,Male,75 + years,No,Yes,"Married,",Always,Independent,Conservative,2-year college degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$75,000 to less than $100,000",M,S,76,C,2,.995835
101023,210621,80,75+, ,75+,Yes,Not at all likely,Don't know or refused [DO NOT READ],Somewhat important,Not at all important,Extremely important,Strongly support,Very favorable,Male,75 + years,Yes,Yes,"Married,",Always,Republican,Conservative,"Post high school education, but with no degree","Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$60,000 to less than $75,000",M,S,79,C,4,.995835
101037,210621,54,50-54, ,50-54,Yes,Not at all likely,Somewhat important,Somewhat important,Not very important,Somewhat important,Neither support or oppose [DO NOT READ],Not very favorable,Male,50-54 years,No,No,Currently Single and never been married,Most of the time,Independent,Moderate,High school graduate or equivalent,Self-employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$50,000 to less than $60,000",M,S,54,C,2,1.123384
101045,210621,60,60-64, ,60-64,Yes,Somewhat Likely,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Strongly oppose,Not very favorable,Female,60-64 years,No,Yes,"Married,",Most of the time,Independent,Moderate,2-year college degree,Employed part-time,No,White/Caucasian, , , , , ,No,No,No,Don't know or refused [DO NOT READ],F,E,63,C,5,1.079926
101245,210621,52,50-54, ,50-54,Yes,Very Likely,Extremely important,Very important,Extremely important,Very important,Strongly support,Very favorable,Female,50-54 years,No,Yes,"Married,",Always,Democrat,Liberal,Graduate or professional degree,Employed full-time,No,Black/African American, , , , , ,No,Yes,Yes,"$75,000 to less than $100,000",F,E,52,B,6,.922958
101306,210621,57,55-59, ,55-59,Yes,Somewhat Likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,55-59 years,No,No,Separated,Always,Republican,Conservative,2-year college degree,Employed part-time,No,White/Caucasian, , , , , ,No,No,No,Don't know or refused [DO NOT READ],F,U,57,C,5,1.283263
101338,210621,63,60-64, ,60-64,Yes,Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Female,60-64 years,No,Yes,"Widowed,",Always,Republican,Don't know or refused [DO NOT READ],2-year college degree,Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$35,000 to less than $50,000",F,S,63,C,7,1.079926
101354,210621,70,70-74, ,70-74,Yes,Extremely likely,Very important,Extremely important,Very important,Extremely important,Strongly support,Extremely favorable,Male,70-74 years,No,Yes,"Not married, but living with your partner",Always,Democrat,Liberal,2-year college degree,Self-employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$150,000 to less than $200,000",M,E,70,C,1,.938621
101368,210621,72,70-74, ,70-74,Yes,Not very Likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,70-74 years,No,Yes,Currently Single and never been married,Always,Independent,Moderate,Graduate or professional degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$60,000 to less than $75,000",F,S,72,C,1,1.062288
101369,210621,60,60-64, ,60-64,Yes,Not very Likely,Not very important,Very important,Somewhat important,Somewhat important,Neither support or oppose [DO NOT READ],Somewhat favorable,Female,60-64 years,No,Yes,"Married,",Always,Republican,Moderate,4-year college degree,Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$200,000 or more",F,S,60,C,1,1.079926
101386,210621,60,60-64, ,60-64,Yes,Not at all likely,Extremely important,Somewhat important,Extremely important,Extremely important,Somewhat support,Somewhat favorable,Female,60-64 years,No,Yes,Currently Single and never been married,Always,Something else,Moderate,4-year college degree,"Retired and not working at all,",No,Black/African American, , , , , ,Yes,Yes,No,"Less than $15,000",F,E,62,B,2,.813436
101433,210621,65,65-69, ,65-69,Yes,Don't know or refused [DO NOT READ],Extremely important,Very important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,65-69 years,No,Yes,"Married,",Always,Democrat,Moderate,2-year college degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$35,000 to less than $50,000",F,S,78,C,7,1.170382
101446,210621,53,50-54, ,50-54,Yes,Not at all likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,50-54 years,No,Yes,"Divorced,",Most of the time,Democrat,Liberal,High school graduate or equivalent,Self-employed part-time,No,Black/African American, , , , , ,Yes,Yes,No,"$15,000 to less than $25,000",F,E,53,B,7,.922958
101467,210621,60,60-64, ,60-64,Yes,Very Likely,Very important,Very important,Extremely important,Very important,Strongly support,Somewhat favorable,Male,60-64 years,No,Yes,"Not married, but living with your partner",Never vote,Democrat,Liberal,High school graduate or equivalent,"Unemployed, but looking for work",No,White/Caucasian, , , , , ,No,No,No,"$50,000 to less than $60,000",M,E,58,B,6,1.27489
101580,210621,61,60-64, ,60-64,Yes,Don't know or refused [DO NOT READ],Very important,Somewhat important,Somewhat important,Don't know or refused [DO NOT READ],Strongly oppose,Not at all favorable,Male,60-64 years,No,Yes,"Divorced,",Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],2-year college degree,Employed full-time,No,White/Caucasian, , , , , ,No,No,No,Don't know or refused [DO NOT READ],M,U,61,C,2,1.27489
101607,210621,57,55-59, ,55-59,Yes,Not at all likely,Very important,Very important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,55-59 years,No,Yes,"Married,",Always,Democrat,Conservative,"Post-graduate study, but with no degree",Employed full-time,No,Black/African American, , , , , ,Yes,No,No,"$50,000 to less than $60,000",F,E,57,B,3,.966596
101621,210621,74,70-74, ,70-74,Yes,Somewhat Likely,Somewhat important,Very important,Somewhat important,Extremely important,Strongly support,Very favorable,Male,70-74 years,Yes,No,"Divorced,",Always,Republican,Conservative,High school graduate or equivalent,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"Less than $15,000",M,S,74,C,4,.938621
101821,210621,50,50-54, ,50-54,Yes,Not at all likely,Not at all important,Very important,Very important,Very important,Somewhat support,Somewhat favorable,Female,50-54 years,No,Yes,"Married,",Always,Republican,Conservative,High school graduate or equivalent,Employed full-time,No,White/Caucasian, , , , , ,No,Yes,No,Don't know or refused [DO NOT READ],F,S,56,C,2,1.225328
101927,210621,93,75+, ,75+,Yes,Not at all likely,Somewhat important,Somewhat important,Somewhat important,Not very important,Strongly oppose,Not very favorable,Female,75 + years,Yes,No,"Widowed,",Always,Republican,Conservative,High school graduate or equivalent,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$25,000 to less than $35,000",F,U,63, ,7,1.063092
101939,210621,78,75+, ,75+,Yes,Extremely likely,Extremely important,Extremely important,Extremely important,Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Female,75 + years,No,Yes,"Married,",Always,Republican,Conservative,"Post high school education, but with no degree","Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"Less than $15,000",M,S,57,C,4,1.063092
101969,210621,65,65-69, ,65-69,Yes,Not at all likely,Don't know or refused [DO NOT READ],Very important,Very important,Extremely important,Strongly support,Somewhat favorable,Female,65-69 years,Yes,Yes,"Divorced,",Always,Republican,None of the above [DO NOT READ],"Post high school education, but with no degree","Retired and not working at all,",No,White/Caucasian, , , , , ,No,Yes,No,"$15,000 to less than $25,000",F,S,65,C,1,1.170382
102108,210621,63,60-64, ,60-64,Yes,Extremely likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,60-64 years,No,Yes,Currently Single and never been married,Always,Democrat,Liberal,Graduate or professional degree,Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$200,000 or more",F,U,63,C,4,1.079926
102115,210621,81,75+, ,75+,Yes,Not at all likely,Extremely important,Very important,Extremely important,Extremely important,Strongly support,Extremely favorable,Male,75 + years,Yes,Yes,"Married,",Most of the time,Republican,Conservative,2-year college degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,Don't know or refused [DO NOT READ],F,S,79,C,5,.995835
102289,210623,68,65-69, ,65-69,Yes,Very Likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,65-69 years,No,Yes,"Married,",Always,Democrat,Liberal,"Post-graduate study, but with no degree",Employed full-time,Yes,Native American or Alaskan Native, , , , , ,No,No,No,"$150,000 to less than $200,000",F,E,68,H,1,.435672
102296,210622,62,60-64, ,60-64,Yes,Don't know or refused [DO NOT READ],Very important,Very important,Don't know or refused [DO NOT READ],Somewhat important,Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Male,60-64 years,No,Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],No,White/Caucasian, , , , , ,No,No,No,Don't know or refused [DO NOT READ],M,S,62,C,1,1.27489
102386,210622,61,60-64, ,60-64,Yes,Not very Likely,Very important,Very important,Very important,Extremely important,Strongly support,Extremely favorable,Male,60-64 years,No,Yes,"Married,",Always,Republican,Conservative,"Post high school education, but with no degree",Self-employed full-time,No,Native American or Alaskan Native, , , , , ,No,No,No,"$150,000 to less than $200,000",M,S,61,C,1,.474575
102393,210626,63,60-64, ,60-64,Yes,Not at all likely,Extremely important,Not at all important,Not at all important,Not at all important,Strongly oppose,Not at all favorable,Female,60-64 years,No,Yes,"Married,",Most of the time,Republican,Conservative,Graduate or professional degree,Employed full-time,No,White/Caucasian, , , , , ,No,Yes,No,"$200,000 or more",F,S,75,C,1,1.079926
102498,210626,72,70-74, ,70-74,Yes,Not very Likely,Very important,Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Female,70-74 years,No,Yes,"Married,",Always,Something else,Conservative,Graduate or professional degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$100,000 to less than $125,000",M,S,72,C,4,1.062288
102515,210621,69,65-69, ,65-69,Yes,Extremely likely,Very important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Male,65-69 years,Yes,Yes,Currently Single and never been married,Never vote,Something else,Moderate,"Post-graduate study, but with no degree","Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$15,000 to less than $25,000",M,S,69,C,2,1.079787
102575,210626,76,75+, ,75+,Yes,Not at all likely,Extremely important,Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Not at all important,Strongly oppose,Not at all favorable,Female,75 + years,No,Yes,"Widowed,",Most of the time,Republican,Conservative,2-year college degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"Less than $15,000",F,S,76,C,2,1.063092
102627,210621,72,70-74, ,70-74,Yes,Don't know or refused [DO NOT READ],Extremely important,Not at all important,Very important,Not very important,Strongly oppose,Don't know or refused [DO NOT READ],Male,70-74 years,No,Yes,"Widowed,",Don't know or refused [DO NOT READ],Republican,Conservative,High school graduate or equivalent,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,Don't know or refused [DO NOT READ],M,E,72,C,5,.938621
102633,210622,63,60-64, ,60-64,Yes,Not at all likely,Not at all important,Very important,Very important,Not at all important,Strongly oppose,Not at all favorable,Male,60-64 years,No,Yes,"Married,",Always,Republican,Conservative,"Post high school education, but with no degree",Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$200,000 or more",M,U,63, ,3,1.27489
102654,210621,70,70-74, ,70-74,Yes,Not at all likely,Extremely important,Extremely important,Very important,Extremely important,Strongly support,Very favorable,Female,70-74 years,Yes,Yes,"Widowed,",About half the time,Something else,Liberal,"0 to 12th grade, but with no diploma","Retired and not working at all,",No,Black/African American, , , , , ,No,No,No,"Less than $15,000",F,E,70,B,6,.800151
102691,210621,74,70-74, ,70-74,Yes,Not very Likely,Very important,Somewhat important,Somewhat important,Extremely important,Strongly support,Very favorable,Male,70-74 years,No,Yes,"Married,",Always,Republican,Conservative,High school graduate or equivalent,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$50,000 to less than $60,000",F,S,74,C,5,.938621
102695,210623,69,65-69, ,65-69,Yes,Very Likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Male,65-69 years,No,Yes,"Married,",Always,Democrat,Moderate,"Post high school education, but with no degree","Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,Don't know or refused [DO NOT READ],M,E,69,C,7,1.079787
102698,210623,999,Refused [DO NOT READ],65-69,65-69,Yes,Very Likely,Extremely important,Extremely important,Extremely important,Extremely important,Somewhat support,Extremely favorable,Male,65-69 years,No,Yes,"Widowed,",Always,Democrat,Moderate,Graduate or professional degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$75,000 to less than $100,000",M,E,68,C,1,1.079787
102756,210622,51,50-54, ,50-54,Yes,Somewhat Likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Male,50-54 years,No,Yes,"Married,",Always,Republican,Moderate,4-year college degree,Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$150,000 to less than $200,000",F,S,50,C,5,1.123384
102834,210622,56,55-59, ,55-59,Yes,Extremely likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Very favorable,Female,55-59 years,No,Yes,"Divorced,",Always,Don't know or refused [DO NOT READ],Conservative,2-year college degree,Employed part-time,No,White/Caucasian, , , , , ,Yes,No,No,"$35,000 to less than $50,000",F,U,55, ,5,1.283263
102966,210622,67,65-69, ,65-69,Yes,Extremely likely,Very important,Very important,Very important,Very important,Somewhat support,Very favorable,Male,65-69 years,No,Yes,"Married,",Most of the time,Independent,None of the above [DO NOT READ],4-year college degree,"Unemployed, but looking for work",No,White/Caucasian, , , , , ,No,Yes,No,"$150,000 to less than $200,000",M,S,57,C,5,1.079787
102967,210621,67,65-69, ,65-69,Yes,Not very Likely,Extremely important,Very important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,65-69 years,Yes,Yes,"Married,",Always,Republican,Moderate,4-year college degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,Don't know or refused [DO NOT READ],F,S,67,C,3,1.170382
102995,210622,54,50-54, ,50-54,Yes,Not at all likely,Somewhat important,Very important,Not very important,Somewhat important,Somewhat oppose,Not very favorable,Male,50-54 years,No,Yes,"Widowed,",Always,Republican,Conservative,4-year college degree,Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$150,000 to less than $200,000",M,U,54,C,1,1.123384
103043,210622,64,60-64, ,60-64,Yes,Not very Likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Male,60-64 years,Yes,Yes,"Married,",Always,Independent,Moderate,4-year college degree,"Retired and not working at all,",No,Black/African American, , , , , ,No,No,No,Don't know or refused [DO NOT READ],M,E,64,B,5,.960289
103056,210623,63,60-64, ,60-64,Yes,Not at all likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,60-64 years,No,Yes,"Married,",Always,Independent,Moderate,Graduate or professional degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$50,000 to less than $60,000",M,S,68,C,7,1.079926
103100,210622,65,65-69, ,65-69,Yes,Very Likely,Extremely important,Extremely important,Very important,Very important,Somewhat support,Somewhat favorable,Female,65-69 years,No,Yes,"Widowed,",Always,Republican,Conservative,Graduate or professional degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$50,000 to less than $60,000",F,S,64,C,6,1.170382
103190,210623,63,60-64, ,60-64,Yes,Extremely likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,60-64 years,No,Yes,"Married,",Always,Democrat,Liberal,2-year college degree,"Retired and not working at all,",No,Black/African American, , , , , ,No,No,No,Don't know or refused [DO NOT READ],F,S,63,C,7,.813436
103266,210621,81,75+, ,75+,Yes,Don't know or refused [DO NOT READ],Very important,Very important,Very important,Very important,Strongly support,Extremely favorable,Female,75 + years,No,Yes,"Married,",Always,Democrat,Liberal,4-year college degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$75,000 to less than $100,000",M,S,79,C,1,1.063092
103410,210622,70,70-74, ,70-74,Yes,Not very Likely,Very important,Extremely important,Not at all important,Extremely important,Somewhat support,Somewhat favorable,Female,70-74 years,No,Yes,"Widowed,",Most of the time,Republican,Conservative,2-year college degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$25,000 to less than $35,000",M,S,62,C,5,1.062288
103430,210622,56,55-59, ,55-59,Yes,Extremely likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Male,55-59 years,No,Yes,"Married,",Always,Democrat,Liberal,2-year college degree,Employed full-time,No,Black/African American, , , , , ,No,No,No,"$60,000 to less than $75,000",M,U,56,C,6,.947932
103470,210629,56,55-59, ,55-59,Yes,Very Likely,Very important,Extremely important,Very important,Very important,Neither support or oppose [DO NOT READ],Not at all favorable,Female,55-59 years,Yes,No,"Married,",Most of the time,Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],2-year college degree,Not in the labor force for other reasons,No,Don't know or refused [DO NOT READ], , , , , ,No,No,No,"$15,000 to less than $25,000",F,S,55,C,6,.477692
103484,210623,74,70-74, ,70-74,Yes,Not at all likely,Somewhat important,Very important,Very important,Very important,Somewhat support,Somewhat favorable,Male,70-74 years,No,Yes,"Married,",Always,Independent,Conservative,"Post high school education, but with no degree",Employed part-time,No,White/Caucasian, , , , , ,No,No,No,"$50,000 to less than $60,000",F,S,69,C,1,.938621
103537,210621,79,75+, ,75+,Yes,Not very Likely,Very important,Very important,Very important,Very important,Strongly support,Very favorable,Male,75 + years,No,Yes,"Widowed,",Always,Independent,Moderate,"Post high school education, but with no degree","Retired and not working at all,",No,White/Caucasian, , , , , ,No,Yes,No,Don't know or refused [DO NOT READ],M,S,78,C,2,.995835
103538,210621,65,65-69, ,65-69,Yes,Somewhat Likely,Very important,Very important,Not very important,Not very important,Somewhat oppose,Don't know or refused [DO NOT READ],Male,65-69 years,No,Yes,"Married,",Always,Republican,Conservative,Graduate or professional degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$100,000 to less than $125,000",F,S,76,C,2,1.079787
103558,210622,59,55-59, ,55-59,Yes,Extremely likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,55-59 years,Yes,Yes,Currently Single and never been married,Always,Democrat,Moderate,"0 to 12th grade, but with no diploma",Employed full-time,Don't know or refused [DO NOT READ],Black/African American, , , , , ,No,No,No,"$25,000 to less than $35,000",F,E,59,B,5,.966596
103565,210622,64,60-64, ,60-64,Yes,Somewhat Likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Male,60-64 years,Yes,Yes,"Married,",Always,Republican,Conservative,4-year college degree,Employed full-time,Yes,Pacific Islander/Native Hawaiian/Other Race, , , , , ,No,No,No,"$150,000 to less than $200,000",M,U,63,H,1,.474575
103601,210622,60,60-64, ,60-64,Yes,Not at all likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,60-64 years,Yes,Yes,Currently Single and never been married,Always,Democrat,Moderate,"0 to 12th grade, but with no diploma","Retired and not working at all,",No,Black/African American, , , , , ,No,No,No,"Less than $15,000",F,E,60,B,3,.813436
103643,210622,63,60-64, ,60-64,Yes,Not at all likely,Very important,Very important,Very important,Very important,Strongly support,Somewhat favorable,Male,60-64 years,No,Yes,"Married,",Never vote,Republican,Conservative,Graduate or professional degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$100,000 to less than $125,000",M,U,63, ,1,1.27489
103659,210622,60,60-64, ,60-64,Yes,Very Likely,Not at all important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Male,60-64 years,No,Yes,"Married,",Always,Republican,Conservative,"0 to 12th grade, but with no diploma",Self-employed full-time,No,White/Caucasian, , , , , ,No,Yes,No,"$125,000 to less than $150,000",M,S,60,C,1,1.27489
103693,210624,63,60-64, ,60-64,Yes,Somewhat Likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,60-64 years,Yes,Yes,"Married,",Always,Republican,Conservative,"Post-graduate study, but with no degree","Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$60,000 to less than $75,000",F,S,63,C,3,1.079926
103707,210622,59,55-59, ,55-59,Yes,Not at all likely,Very important,Very important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,55-59 years,Yes,Yes,"Widowed,",Always,Independent,Moderate,"Post high school education, but with no degree",Self-employed full-time,No,White/Caucasian, , , , , ,No,No,Yes,"$35,000 to less than $50,000",F,S,59,C,5,1.283263
103818,210621,78,75+, ,75+,Yes,Not very Likely,Very important,Extremely important,Somewhat important,Not very important,Somewhat support,Not very favorable,Female,75 + years,No,Yes,"Widowed,",Always,Republican,Conservative,4-year college degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$50,000 to less than $60,000",F,S,78,C,2,1.063092
103857,210622,54,50-54, ,50-54,Yes,Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Somewhat important,Somewhat important,Somewhat important,Somewhat oppose,Not very favorable,Male,50-54 years,No,Yes,"Married,",Always,Republican,Conservative,2-year college degree,Employed full-time,No,White/Caucasian, , , , , ,No,No,Yes,Don't know or refused [DO NOT READ],M,S,54,C,5,1.123384
103872,210626,999,Refused [DO NOT READ],75+,75+,Yes,Not very Likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Male,75 + years,No,Yes,"Divorced,",Always,Independent,Liberal,Graduate or professional degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,Don't know or refused [DO NOT READ],M,E,75,C,2,.995835
103875,210624,62,60-64, ,60-64,Yes,Very Likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,60-64 years,No,Yes,Separated,Always,Democrat,Liberal,High school graduate or equivalent,Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$25,000 to less than $35,000",F,E,62,C,3,1.079926
103997,210624,65,65-69, ,65-69,Yes,Very Likely,Very important,Very important,Extremely important,Extremely important,Strongly support,Somewhat favorable,Male,65-69 years,No,Yes,"Married,",Always,Independent,Moderate,4-year college degree,Self-employed full-time,No,White/Caucasian, , , , , ,No,No,Yes,"$150,000 to less than $200,000",M,S,65,C,2,1.079787
